Experimental Item,SS,SP,SSS,SPS,SSP,SPP,SSA,SPA
,,,,,,,The advertisement from the office here,
,,,,,,,The announcement by the director today,
,,,,,,,The article by the writer yesterday,
,,,,,,,The author of the speech yesterday,
,,,,,,,The computer with the program here,
,,,,,,,The contract for the actor there,
,,,,,,,The discussion about the topic today,
,,,,,,,The dog on the path here,
,,,,,,,The friend of the editor yesterday,
,,,,,,,The gift for the daughter there,
,,,,,,,The helicopter for the flight today,
,,,,,,,,The article about the conferences yesterday
,,,,,,,,The letter from the friends here
,,,,,,,,The manual by the developers there
,,,,,,,,The rope on the docks here
,,,,,,,,The meal for the guests today
,,,,,,,,The museum with the pictures there
,,,,,,,,The design for the engines here
,,,,,,,,The payment for the services yesterday
,,,,,,,,The photo of the girls there
,,,,,,,,The post of the platforms today
,The prescription by the doctor,,,,,,,
,The producer of the movie,,,,,,,
,The publisher of the book,,,,,,,
,The setting for the movie,,,,,,,
,The statue in the garden,,,,,,,
,The switch for the light,,,,,,,
,The telegram to the friend,,,,,,,
,The threat to the president,,,,,,,
,The tour of the museum,,,,,,,
,The train to the city,,,,,,,
,,The truck on the bridges,,,,,,
,,The cat of my neighbours,,,,,,
,,The bowl with the fruits,,,,,,
,,The letter from our penpals,,,,,,
,,The lamp with the tassles,,,,,,
,,The book about the warriors,,,,,,
,,The host of the podcasts,,,,,,
,,The lawyer of my uncles,,,,,,
,,The shoe under the chairs,,,,,,
,,The tomato on the vines,,,,,,
,,,The dog of the farmer in the field,,,,,
,,,The shark around the island with the monkey,,,,,
,,,The balcony of the hotel over the car,,,,,
,,,The e-mail by the member to the executive,,,,,
,,,The recipe of the baker with the fruit,,,,,
,,,The cookie in the bowl for the grandkid,,,,,
,,,The book in the library about the tea,,,,,
,,,The toy from the shelf beside the poster,,,,,
,,,The tunnel below the basement of the tower,,,,,
,,,The passenger on the train through the country,,,,,
,,,,The city in the valleys with the flower,,,,
,,,,The map on the desks under the light,,,,
,,,,The cat with a bells on the collar,,,,
,,,,The start of the races over the mountain,,,,
,,,,The conversation about the students in hallway,,,,
,,,,The hospital in the buildings near the garden,,,,
,,,,The spy with the maps to the event,,,,
,,,,The book about the events in the city,,,,
,,,,The pillow with the ruffles on the couch,,,,
,,,,The icing on the cakes with the candle,,,,
,,,,,The stamp in the corner of the passports,,,
,,,,,The blender on the counter near the outlets,,,
,,,,,The tea in the tin with the flowers,,,
,,,,,The castle with the bridge over the rivers,,,
,,,,,The blueprint on the table by the plants,,,
,,,,,The strategy for the invasion of the countries,,,
,,,,,The attitude toward the election for the presidents,,,
,,,,,The ticket for the trip through the cities,,,
,,,,,The message from the fan of the writers,,,
,,,,,The meaning of the symbol on the flags,,,
,,,,,,The feeling toward the recipients of the awards,,
,,,,,,The attitude of the senators toward the bills,,
,,,,,,The mood of the critics of the poems,,
,,,,,,The pattern on the carpets in the rooms,,
,,,,,,The call of the birds through the clouds,,
,,,,,,The sound of the jackhammers outside the windows,,
,,,,,,The sighting of the fires on the mountains,,
,,,,,,The smell of the sandwiches on the napkins,,
,,,,,,The cure for the diseases in the cities,,
